"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\SettingWindow.js", "JavaScript", 28, 0, 0, 5, 33
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\StartPrivate.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ThemeSwitch.js", "JavaScript", 10, 0, 0, 4, 14
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ThemesPicker.js", "JavaScript", 39, 0, 0, 6, 45
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\authService.js", "JavaScript", -13, 0, -1, -1, -15
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\chatServices.js", "JavaScript", -1, 0, 0, 1, 0
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\userServices.js", "JavaScript", 2, 0, 0, -3, -1
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\i18n.js", "JavaScript", 1409, 0, 10, 6, 1425
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\index.css", "PostCSS", 0, 12, 0, 20, 32
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\index.js", "JavaScript", 1, 0, 1, 0, 2
"Total", "-", 2097, 12, 31, 120, 2260
